254,Ficus benghalensis,Bargad,2024-12-07 12:16:18.101823+00,2024-12-07 12:16:18.102531+00,बरगद,Religious
255,Not a plant name,Google,2024-12-07 12:16:18.101828+00,2024-12-07 12:16:18.102539+00,गूगल,Medicinal
256,Ficus religiosa,Peepal,2024-12-07 12:16:18.101832+00,2024-12-07 12:16:18.102546+00,पीपल,Religious
257,Butea monosperma,Palash,2024-12-07 12:16:18.101838+00,2024-12-07 12:16:18.102554+00,पलाश,Ornamental
258,Aegle marmelos,Bael,2024-12-07 12:16:18.101842+00,2024-12-07 12:16:18.102561+00,बेल,Religious
259,Anthocephalus cadamba,Kadam,2024-12-07 12:16:18.101847+00,2024-12-07 12:16:18.10257+00,कदम्ब,Religious
260,Terminalia arjuna,Arjun,2024-12-07 12:16:18.101852+00,2024-12-07 12:16:18.102578+00,अर्जुन,Medicinal
261,Ziziphus mauritiana,Ber,2024-12-07 12:16:18.101856+00,2024-12-07 12:16:18.102586+00,बेर,Fruit
262,Phyllanthus emblica,Amla,2024-12-07 12:16:18.101861+00,2024-12-07 12:16:18.102594+00,आंवला,Medicinal
263,Bombax ceiba,Semal,2024-12-07 12:16:18.101866+00,2024-12-07 12:16:18.102602+00,सेमल,Timber
264,Acacia nilotica,Babool,2024-12-07 12:16:18.10187+00,2024-12-07 12:16:18.10261+00,बबूल,Timber
265,Prosopis cineraria,Khejri,2024-12-07 12:16:18.101875+00,2024-12-07 12:16:18.102618+00,खेजड़ी,Religious
266,Capparis decidua,Kair,2024-12-07 12:16:18.10188+00,2024-12-07 12:16:18.102627+00,कैर,Medicinal
267,Azadirachta indica,Neem,2024-12-07 12:16:18.101885+00,2024-12-07 12:16:18.102635+00,नीम,Medicinal
268,Other,Other,2024-12-07 12:16:18.101891+00,2024-12-07 12:16:18.102644+00,Other,Exotic
